EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
Cedars-Sinai Medical Center,115,115,82742,Postdoctoral Scientist,CA,100.0
Northwestern Mutual Life Insurance Company,115,135,134626,Senior Software Engineer,WI,85.2
Board of Regents of the University of Nebraska,115,119,67830,Postdoctoral Research Associate,NE,96.6
"LexisNexis Risk Solutions FL, Inc.",113,114,128375,Software Engineer III,IL,99.1
Cincinnati Children's Hospital Medical Center,112,118,70865,Associate Staff Scientist,OH,94.9
"AMAZON DATA SERVICES, INC.",112,112,160000,DATA CENTER INFRASTRUCTURE ENGINEER II,VA,100.0
The Florida State University,112,119,87621,Assistant Professor,FL,94.1
"HubSpot, Inc.",111,117,165000,Senior Software Engineer I,MA,94.9
"NTT DATA Services, LLC",111,111,126131,Software Development Specialist Advisor,TX,100.0
Harmony Public Schools,111,116,53560,Science Teacher,TX,95.7
"Artech, LLC",110,110,142480,Application Programmer V,TX,100.0
UPMC Medical Education,110,110,72902,Resident - Internal Medicine,PA,100.0
Epsilon Data Management LLC,110,110,140000,Senior Software Engineer,TX,100.0
"AUDIBLE, INC.",110,112,161754,Software Development Engineer II,NJ,98.2
"Worldpay, LLC ",109,113,145000,Software Engineer II,OH,96.5
Carnegie Mellon University,109,130,86233,Postdoctoral Research Associate,PA,83.8
IQVIA Inc.,108,136,146255,Engagement Manager,NJ,79.4
"Okta, Inc. ",108,108,165888,Staff Software Engineer,CA,100.0
"Regeneron Pharmaceuticals, Inc.",108,109,158591,Principal Scientist,NY,99.1
Southwest Airlines Co.,107,107,149781,Sr. Software Engineer,TX,100.0
Ericsson Inc.,107,110,132092,Engineer - Svcs Sftwr,TX,97.3
"Perficient, Inc.",106,112,144950,Lead Technical Consultant,TX,94.6
"Management Health Systems, LLC",106,110,58656,Clinical Laboratory Scientist,FL,96.4
Informatica LLC,106,106,137541,Lead Technical Support Engineer,CA,100.0
VMware LLC,106,106,207175,R&D Engineer Software,CA,100.0
"7-Eleven, Inc.",106,106,135873,Software Engineer II,TX,100.0
University of Colorado,105,164,81127,Research Associate (Astronomer),CO,64.0
LPL Financial LLC,105,105,159650,"AVP Tech, Software Development",SC,100.0
Administrators of the Tulane Educational Fund,105,109,75000,Postdoctoral Fellow,LA,96.3
Amazon Advertising LLC,105,105,144627,Software Development Engineer II,NY,100.0
"Zillow, Inc.",105,125,182604,Senior Software Development Engineer,WA,84.0
Open Avenues Foundation,105,165,87838,Finance Fellow,CA,63.6
The Bank of New York Mellon,104,106,165000,"Senior Vice President, Full-Stack Engineer",NY,98.1
Oregon Health & Science University,104,116,93507,Postdoctoral Scholar,OR,89.7
University of South Florida,104,132,81500,Assistant Professor,FL,78.8
Cleveland Clinic Foundation,103,117,115128,Research Scientist,OH,88.0
DocuSign Inc. ,103,103,200000,Sr. Software Engineer,CA,100.0
"Staples, Inc.",103,103,144766,Software Engineer III,MA,100.0
WSP USA Inc.,103,127,114546,Structural Engineer,TX,81.1
Intellectt Inc,103,103,97198,Quality Engineer,CA,100.0
"Fujitsu North America, Inc. ",102,103,115031,"Computer Software Engineer, Applications",TX,99.0
Howard Hughes Medical Institute,102,110,82250,Postdoctoral Scientist,VA,92.7
"Iris Software, Inc",102,104,124500,Software Developer,TX,98.1
"United Wholesale Mortgage, LLC",102,103,115000,Software Developer,MI,99.0
"Centene Management Company, LLC",102,119,132661,Senior Application Development Engineer,MO,85.7
Tredence Inc. ,101,104,155000,Associate Manager,TX,97.1
Coupang Global LLC,101,102,191743,Staff Backend Engineer,WA,99.0
CITADEL AMERICAS SERVICES LLC,101,102,200000,Quantitative Researcher,NY,99.0
The University of Arizona,101,120,75000,Researcher/Scientist III,AZ,84.2
"Qualcomm Innovation Center, Inc. ",100,100,130187,Senior Software Engineer,CA,100.0
University of Colorado Denver,100,134,67381,Assistant Professor,CO,74.6
"Richmond Children Center, Inc.",100,102,40664,Direct Support Professional,NY,98.0
Tech Mahindra (Americas) Inc.,100,120,120500,Computer Systems Analyst,TX,83.3
OneMain General Services Corporation,100,100,87761,Analytics Analyst,DE,100.0
"Ascendion, Inc. (Formerly known as Collabera, Inc.)",100,100,135000,Data Engineer,TX,100.0
"Asurion, LLC",99,99,159215,Software Engineer 3,VA,100.0
"Paycom Payroll, LLC",99,99,138537,Sr. Software Developer,TX,100.0
West Virginia University,99,108,100630,Assistant Professor (Neurology),WV,91.7
"BOFA SECURITIES, INC.",99,99,225000,Vice President; Software Engineer III,NY,100.0
Denver Public Schools District 1,99,102,74545,ELA-S Elementary Teacher,CO,97.1
Docusign Inc. ,98,100,190000,Senior Software Engineer,WA,98.0
Zoox Inc.,98,115,175656,Software Engineer,CA,85.2
Safeway Inc.,98,101,172821,Staff Engineer Software,CA,97.0
"Arista Networks, Inc.",98,98,145816,Software Engineer,CA,100.0
PIONEER CONSULTING SERVICES LLC,98,98,112923,Java Developer,TX,100.0
California Department of Transportation,98,102,89136,Transportation Engineer (Civil),CA,96.1
"AECOM Technical Services, Inc.",98,98,113788,Civil Engineering III,CA,100.0
Indiana University,98,152,76127,Assistant Professor,IN,64.5
University of Arkansas for Medical Sciences,97,97,73068,Assistant Professor,AR,100.0
Discover Products Inc,97,99,116334,Lead Data Science Analyst,IL,98.0
"Indiana University Health Care Associates, Inc.",97,97,260000,Hospitalist,IN,100.0
"Experis US, LLC",97,104,125808,Sr. Software Developer,NC,93.3
The Prudential Insurance Company of America,96,107,156500,Senior Infrastructure Developer - KBGFJG359982-1,NJ,89.7
"Sapphire Software Solutions, Inc.",96,98,106300,Software Developer,TX,98.0
"Farmers Group, Inc.",96,99,143950,Agile Developer Team Member,CA,97.0
VISTA APPLIED SOLUTIONS GROUP INC,96,96,105997,Data Engineer,TX,100.0
"Akkodis, Inc.",96,96,114400,Software Engineer,MI,100.0
"MONGODB, INC.",96,113,192708,Senior Software Engineer,NY,85.0
Texas Instruments Incorporated,96,124,146216,Analog Design Engineer,TX,77.4
Starbucks Coffee Company,96,160,158087,Software Development Engineer in Test (SDET) Lead - 13941-19,WA,60.0
Tek Leaders Inc,96,96,92290,Software Engineer,TX,100.0
Safeway Inc. ,95,131,165000,Staff Engineer Software,CA,72.5
New York Life Insurance Company,95,98,140043,Senior Associate,NY,96.9
"Chime Financial, Inc.",95,96,200000,Senior Software Engineer,CA,99.0
Dish Wireless LLC,95,95,114691,Senior RF Engineer,CO,100.0
"VIRTUSA CONSULTING SERVICES PVT., LTD",94,101,122179,IT PROJECT MANAGER 3,FL,93.1
SYNECHRON INC,93,95,119466,SPECIALIST - TECHNOLOGY,NC,97.9
Brown University,93,115,82600,"Sr Research Associate in Molecular Bio, Cell Bio, & Biochem",RI,80.9
TransUnion LLC,93,93,123656,Consultant,IL,100.0
"NXP USA, Inc.",93,93,154400,Product/Test Engineer,TX,100.0
"St. Jude Medical, Cardiology Division, Inc.",92,92,116000,SENIOR SUPPLIER DEVELOPMENT QUALITY ENGINEER,CA,100.0
"Medical College of Wisconsin, Inc.",92,97,117300,Assistant Professor,WI,94.8
Orion Systems Integrators LLC,91,92,125540,Programmer Analyst,NJ,98.9
"Raymond James & Associates, Inc.",91,105,145000,"Lead Engineer, Applications Development",FL,86.7
"Confluent, Inc.",91,92,191791,Senior Software Engineer,CA,98.9
"Motorola Solutions, Inc.",91,92,131506,Sr Software Engineer,IL,98.9
Boston Scientific Corporation,91,91,122970,Principal Systems Engineer,MA,100.0
Case Western Reserve University,91,93,69360,Postdoctoral Scholar,OH,97.8
Iowa State University of Science and Technology,91,130,72600,Postdoctoral Research Associate,IA,70.0
"LYFT, Inc.",91,91,146307,Software Engineer,CA,100.0
ABBVIE INC.,90,93,157000,SENIOR BUSINESS SYSTEMS CONSULTANT,IL,96.8
MICHIGAN STATE UNIVERSITY,90,136,85356,Assistant Professor,MI,66.2
PRICEWATERHOUSECOOPERS LLP,90,90,143998,Manager,CA,100.0
"Adventist Health System/Sunbelt, Inc. ",90,90,70803,Medical Laboratory Scientist II,FL,100.0
The Depository Trust & Clearing Corporation,90,92,148550,Lead Software Engineer,TX,97.8
"SPOTIFY USA, INC.",89,89,204630,Senior Engineer,NY,100.0
NORTHWELL HEALTH,89,91,155000,PHYSICIAN,NY,97.8
"Alliance for Sustainable Energy, LLC",89,89,97490,Researcher III - Electrical Engineering,CO,100.0
Presbyterian Healthcare Services,89,89,108597,Hospitalist Physician,NM,100.0
"MANHATTAN ASSOCIATES, INC.",89,89,132500,"Senior Principal, Technology Services",GA,100.0
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,89,126,90874,Research Associate,NC,70.6
"TAVANT TECHNOLOGIES, INC.",88,89,135000,SENIOR TECHNICAL ARCHITECT,TX,98.9
"Qualtrics, LLC",88,88,164500,Software Engineer,WA,100.0
Citigroup Global Markets Inc.,88,89,185877,Quantitative Analyst,NY,98.9
"Marvell Semiconductor, Inc. ",88,97,157000,Design Verification Principal Engineer,CA,90.7
"ICE MORTGAGE TECHNOLOGY, INC.",88,96,140400,Senior Engineer,CA,91.7
"SAP Labs, LLC",87,87,164102,Senior Developer,CA,100.0
"MIRACLE SOFTWARE SYSTEMS, INC.",87,87,106558,SOFTWARE ENGINEER,MI,100.0
"The PNC Financial Services Group, Inc.",87,87,132325,Software Engineer Lead,PA,100.0
Hitachi Digital Services LLC,87,97,112070,Software Engineer,TX,89.7
"Axon Enterprise, Inc.",87,96,160000,Software Engineer II,WA,90.6
Laboratory Corporation of America Holdings,86,88,133775,Senior Software Engineer,NC,97.7
THE UNIVERSITY OF TENNESSEE,86,91,89116,Assistant Professor,TN,94.5
"CBRE, INC.",86,99,126131,Senior Software Engineer,TX,86.9
University of Oklahoma,86,92,76990,Assistant Professor,OK,93.5
"HM Health Solutions, Inc.",86,88,121759,Software Engineer,PA,97.7
"Reddit, Inc. ",86,87,259560,Software Engineer,CA,98.9
"SCHNEIDER ELECTRIC USA, INC.",86,86,142850,Technical Product Owner,TN,100.0
Deloitte Services LP,86,86,146439,"Manager, Application Architecture",TN,100.0
"Anthropic, PBC",85,86,187574,Member of Technical Staff,CA,98.8
"Zoetis, Inc.",85,85,133993,"Sr. Manager, eCommerce (Hybris) Development Lead",NJ,100.0
Vanderbilt University,85,86,77367,Postdoctoral Research Scholar,TN,98.8
"Insurance Services Office, Inc",85,87,130000,Developer III,NJ,97.7
The Huntington National Bank,85,85,125000,IS Technical Specialist,OH,100.0
California Institute of Technology,85,133,79040,Staff Scientist,CA,63.9
"Applied Intuition, Inc.",85,85,210000,Software Engineer,CA,100.0
Total System Services LLC,85,85,129486,Software Engineer Specialist,GA,100.0
"Roku, Inc.",85,87,226158,Senior Software Engineer,CA,97.7
"Illumina, Inc.",85,106,138497,Staff Business Systems Analyst,CA,80.2
Georgia Institute of Technology,84,135,85055,Postdoctoral Fellow,GA,62.2
University of Massachusetts Chan Medical School,84,102,70766,Postdoctoral Associate,MA,82.4
"Red Hat, Inc.",84,97,140000,Senior Software Engineer,MA,86.6
"Samsung Semiconductor, Inc.",84,84,172931,Senior Engineer,CA,100.0
The Methodist Hospital Research Institute,84,90,68247,Postdoctoral Fellow,TX,93.3
"FedEx Freight, Inc.",84,85,121035,Full Stack Developer III,TN,98.8
THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,84,84,66472,Assistant Professor,TX,100.0
Maplebear Inc.,84,128,190000,Senior Machine Learning Engineer,CA,65.6
Mount Sinai Hospital,83,83,110565,House Staff Fellow,NY,100.0
"Genentech, Inc.",83,93,138944,Scientist,CA,89.2
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",83,83,134971,Lead Software Engineer,NJ,100.0
Zurich American Insurance Company,83,86,134698,Business Systems Analyst,IL,96.5
American Express Company,82,83,149898,"Senior Manager, Risk Management",NY,98.8
"Honeywell International, Inc.",82,84,160585,Sr Advanced Software Engineer,GA,97.6
AbbVie Inc.,82,82,152222,Associate Business Systems Consultant,IL,100.0
"Docusign, Inc.",82,82,203500,Sr. Software Engineer,CA,100.0
Qualcomm Incorporated,82,82,126880,Staff IT Software Developer,CA,100.0
UNIVERSITY OF KENTUCKY,81,86,76247,Assistant Professor,KY,94.2
"Birlasoft Solutions, Inc.",81,81,110793,Senior Technical Lead,TX,100.0
Vastek Inc,81,81,87360,Validation Engineer,CA,100.0
"Cotiviti, Inc.",81,85,129147,Senior Software Engineer,TX,95.3
Leland Stanford Jr. Univ/SLAC National Accelerator Lab,81,86,118000,Staff Engineer 2,CA,94.2
UST GLOBAL INC,81,84,113797,Specialist I - Software Engineering,WA,96.4
"Paul, Weiss, Rifkind, Wharton & Garrison, LLP",80,84,225000,Associate,NY,95.2
Vanderbilt University Medical Center,80,88,95998,Assistant Professor,TN,90.9
Black & Veatch Corporation,80,86,112029,Electrical Engineer 4,KS,93.0
CITADEL SECURITIES AMERICAS SERVICES LLC,80,80,225000,Quantitative Researcher,FL,100.0
White & Case LLP,80,101,235000,Associate,NY,79.2
University of Maryland College Park,79,131,81061,Post-Doctoral Associate,MD,60.3
HCA Management Services LP,79,85,117244,Senior Application Engineer,TN,92.9
"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",79,82,120386,Senior Electrical Engineer,GA,96.3
Pentangle Tech Services LLC,79,79,95000,Validation Engineer,MI,100.0
"Ameriprise Financial, Inc. ",79,79,130083,Systems Engineer,MN,100.0
"Crusoe Energy Systems, Inc.",79,79,210000,Staff Software Engineer,CA,100.0
Stanford Health Care,79,89,138237,Plastic Surgery Resident,CA,88.8
"Takeda Development Center Americas, Inc.",79,99,159014,Scientist,MA,79.8
Infogain Corporation,78,79,120000,Technology Lead,CA,98.7
"PPD Development, L.P.",78,78,106236,Programmer Analyst II (Bioinformatics),NC,100.0
Hartford Fire Insurance Company,78,78,144497,Staff Software Engineer,CT,100.0
"CrowdStrike, Inc.",78,103,194640,Senior Engineer - Cloud,CA,75.7
Cruise LLC,78,78,210250,Senior Software Engineer II,CA,100.0
Credit Karma LLC,78,78,210225,Software Engineer III,NC,100.0
" Box, Inc.",78,78,187657,Senior Software Engineer,CA,100.0
Collabera LLC,78,78,141440,Software Engineer,NC,100.0
M&T Bank,77,93,124800,Software Engineer II,NY,82.8
Annapurna Labs (U.S.) Inc.,77,77,176696,Software Development Engineer II,TX,100.0
EPAM Systems Inc.,77,78,120000,Lead Software Engineer,TX,98.7
Gap Inc.,77,79,180100,Staff Software Engineer,CA,97.5
"Northstar Group, Inc",77,77,109283,Software Engineer,NJ,100.0
"Marriott International, Inc.",77,96,158668,Senior Software Engineer,MD,80.2
"Moody's Investors Service, Inc.",77,82,159649,Senior Software Engineer,NC,93.9
Electronic Arts Inc.,77,80,153230,Software Engineer II,CA,96.2
SOPHLOGIC GLOBAL LLC.,77,82,108160,SOFTWARE DEVELOPER,TX,93.9
SIRIUS XM RADIO LLC,77,80,146500,SOFTWARE ENGINEER III,TX,96.2
AstraZeneca Pharmaceuticals LP,76,76,160378,Senior Scientist,MD,100.0
The University of Texas at Dallas,76,80,83054,Assistant Professor,TX,95.0
"Western Union, LLC",76,106,142375,Senior Software Engineer,CO,71.7
ACE American Insurance Company ,76,80,158200,Senior Data Analyst,NJ,95.0
Liberty Mutual Technology Group Inc.,76,76,157674,Princ Software Engineer,TX,100.0
Gainwell Technologies LLC,75,77,107640,Senior Professional Application Designer,TX,97.4
Texas Tech University,75,116,76496,Assistant Professor,TX,64.7
The Options Clearing Corporation,75,75,150000,"Associate Principal, Software Engineering",TX,100.0
Ally Bank,75,83,123136,Principal – Software Engineer,NC,90.4
"Toyota  Motor Engineering & Manufacturing North America, Inc. (TEMA)",75,76,153827,Senior Engineer,TX,98.7
"Becton, Dickinson and Company",75,75,142000,Program Manager,CA,100.0
"Yash Technologies, Inc",74,74,116000,SAP Consultant,IL,100.0
"Rocket Mortgage, LLC",74,77,120349,Senior Software Engineer,MI,96.1
"Lawrence Livermore National Security, LLC",74,109,162000,Postdoctoral Research Staff,CA,67.9
"Tata Technologies, Inc.",74,75,97032,Mechanical Engineer,MI,98.7
"Affirm, Inc.",74,74,186000,Software Engineer II,CA,100.0
E-GIANTS TECHNOLOGIES LLC,74,74,105601,SOFTWARE DEVELOPER,TX,100.0
"Rubrik, Inc.",74,89,193731,Software Engineer,CA,83.1
"DPR Construction, A General Partnership",74,74,107307,Project Engineer (Civil/Construction),CA,100.0
"MUFG Bank, Ltd.",74,84,149312,Software Engineering,NJ,88.1
Northwestern Memorial HealthCare,73,73,85280,Medical Laboratory Scientist,IL,100.0
"SIEMENS INDUSTRY, INC.",73,77,130000,System Engineer,NC,94.8
"Beth Israel Deaconess Medical Center, Inc.",73,75,69722,Resident in Internal Medicine,MA,97.3
Genesis Corp,73,106,123656,Application Programmer,NJ,68.9
Sapient Corporation,73,73,163052,Senior Associate Technology L2,TX,100.0
The University of Texas Health Science Center at Houston,73,124,83520,Assistant Professor,TX,58.9
"Zimmer, Inc.",73,76,118358,Quality Senior Engineer I,IN,96.1
Barclays Capital Inc. ,73,73,215000,Vice President - Global Markets,NY,100.0
"QUEST GLOBAL SERVICES- N.A., INC.",72,72,106660,Software Developer,CA,100.0
Merck Sharp & Dohme LLC,72,85,129709,"Associate Principal Scientist, Statistical Programming",NJ,84.7
"UNIVERSITY OF CALIFORNIA, IRVINE",72,96,84300,ASSISTANT PROFESSOR,CA,75.0
Computer Sciences Corporation,72,72,116249,Associate Manager Software Engineering,TX,100.0
APPLAB SYSTEMS INC,72,76,107744,Software Engineer,TX,94.7
Fred Hutchinson Cancer Center,72,74,93310,Postdoctoral Research Fellow,WA,97.3
DISH Network LLC,71,71,117021,Staff Engineer - Software,CO,100.0
University of Maryland Baltimore,71,109,78000,Postdoctoral Fellow,MD,65.1
Emonics LLC,71,74,97906,Software Engineer,CA,95.9
Beacon Hill Solutions Group LLC,71,73,114400,Senior Software Developer,TX,97.3
"Publix Super Markets, Inc.",71,71,155012,Lead Software Engineer,FL,100.0
Broadcom Corporation,71,72,175460,R&D Engineer IC Design,CA,98.6
Idexcel Inc,71,74,112500,Full Stack Developer,VA,95.9
"The Broad Institute, Inc.",71,103,90000,Postdoctoral Associate,MA,68.9
"Novartis Institutes for BioMedical Research, Inc.",71,71,105331,Senior Scientist I,MA,100.0
Greycell Labs Inc,70,70,99840,Software Developer/Analyst,NY,100.0
"MITCHELL/MARTIN, INC.",70,70,139360,Software Engineer,NC,100.0
Synchrony Bank,70,70,150000,"AVP, Software Development Engineering Manager",CT,100.0
THE DEVEREUX FOUNDATION,70,70,38605,Habilitation Counselor,NY,100.0
Zebra Technologies Corporation,70,70,134936,Software Engineer.Senior,GA,100.0
Collaborate Solutions Inc.,70,70,103210,Java Developer,TX,100.0
eClinicalWorks LLC,70,79,112000,Senior Software Engineer,MA,88.6
University of Houston,70,80,79500,Assistant Professor,TX,87.5
Stryker Corporation,70,75,145000,"Director, IT Transformation",CA,93.3
MONTEFIORE MEDICAL CENTER,70,77,107194,Clinical Lab Technologist,NY,90.9
Regents of the University of California at Riverside,69,76,79957,Assistant Professor,CA,90.8
Biogen Inc.,69,69,138000,"Scientist II, Technical Development",MA,100.0
STV Incorporated,69,82,87500,Architectural Designer,TX,84.1
Albert Einstein College of Medicine ,69,89,73902,Postdoctoral Fellow,NY,77.5
PJT Partners Holdings LP,69,82,120000,Analyst,NY,84.1
Covidien LP,69,90,115138,Senior Regulatory Affairs Specialist,CA,76.7
Archer Daniels Midland Company ,69,71,140000,IT Test Lead,KY,97.2
"Cigniti Technologies, Inc.",69,82,108279,Senior React Native Developer,TX,84.1
TECHNOSOFT CORPORATION,69,69,89900,Software Application Developer,MI,100.0
"Saipsit, Inc.",69,69,106000,Software Engineer,TX,100.0
"Epitec, Inc.",68,126,110240,Software Engineer,MI,54.0
